Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
59937708,On Earth As It Is,Mikey Swanberg,"Swanberg, Mikey",,"=""""","=""9781952055348""",0,4.67,Vegetarian Alcoholic Press,Paperback,47,2021,,,2022/11/24,"to-read, poetry","to-read (#91), poetry (#15)",to-read,,,,0,0
51805517,The Book of the Red King,Marly Youmans,"Youmans, Marly",,"=""1927496152""","=""9781927496152""",0,4.83,Phoenicia Publishing,Paperback,172,2019,2019,,2023/02/02,"to-read, poetry","to-read (#115), poetry (#19)",to-read,,,,0,0
45159584,Of Mice and Men,John Steinbeck,"Steinbeck, John",,"=""""","=""""",0,3.88,Penguin Books,Kindle Edition,73,1993,1937,,2022/11/19,"to-read, fiction","to-read (#88), fiction (#181)",to-read,,,,0,0
62921368,Seven Empty Houses,Samanta Schweblin,"Schweblin, Samanta",Megan McDowell,"=""""","=""9780861544332""",0,3.73,Oneworld Publications,ebook,304,2022,2015,,2022/11/18,"to-read, fiction","to-read (#86), fiction (#179)",to-read,,,,0,0
41569041,Picnic in the Storm,Yukiko Motoya,"Motoya, Yukiko",Asa Yoneda,"=""1472154320""","=""9781472154323""",0,3.60,Corsair,Kindle Edition,224,2018,2018,,2022/11/18,"to-read, fiction","to-read (#87), fiction (#180)",to-read,,,,0,0
13346057,The Prague Cemetery,Umberto Eco,"Eco, Umberto",Richard Dixon,"=""0547844204""","=""9780547844206""",0,3.49,HarperVia,Paperback,445,2012,2010,,2022/11/19,"to-read, fiction","to-read (#89), fiction (#182)",to-read,,,,0,0
7616841,Child of God,Cormac McCarthy,"McCarthy, Cormac",,"=""0330510959""","=""9780330510950""",0,3.84,Picador,Paperback,186,2010,1973,,2022/11/15,"to-read, fiction","to-read (#83), fiction (#176)",to-read,,,,0,0
157993,The Little Prince,Antoine de Saint-Exupéry,"Saint-Exupéry, Antoine de",Richard Howard,"=""""","=""""",0,4.32,"Harcourt, Inc.",Paperback,96,2000,1943,,2022/11/11,"to-read, fiction","to-read (#80), fiction (#174)",to-read,,,,0,0
588138,The Hero With a Thousand Faces,Joseph Campbell,"Campbell, Joseph",,"=""0691017840""","=""9780691017846""",0,4.13,Princeton University Press,Paperback,416,1972,1949,,2022/11/15,"to-read, fiction","to-read (#84), fiction (#177)",to-read,,,,0,0
59576076,The Rabbit Hutch,Tess Gunty,"Gunty, Tess",,"=""0593534662""","=""9780593534663""",0,3.54,Knopf,Hardcover,352,2022,2022,,2022/11/17,"to-read, fiction","to-read (#85), fiction (#178)",to-read,,,,0,0
3359098,"Rendezvous with Rama (Rama, #1)",Arthur C. Clarke,"Clarke, Arthur C.",,"=""0575082534""","=""9780575082533""",0,4.12,Victor Gollancz,Paperback,246,2009,1973,,2022/11/13,"to-read, fiction","to-read (#81), fiction (#175)",to-read,,,,0,0
